location,price
RMV Extension Stage 2,140.0
"RMV extension stage 2, rmv extension",324.0
RPC layout,95.0
RR Layout,128.0
RR Nagar,34.0
RTO ullalu,110.0
RWF West Colony,66.82
Race Course Road,525.0
Rachenahalli,72.45125
Raghavendra Layout,89.5
Raghavendra Nagar,81.09
Raghuvanahalli,180.85999999999999
Rahat Bagh,550.0
Rahmath Nagar,98.0
Rainbow Drive,138.0
Raja Rajashweri Nagar,45.12
Raja Rajeshwari Nagar,64.7140350877193
Raja Rajeshwari Nagar 5th Stage,54.582499999999996
Raja Rajeshwari Nagara,81.0
Rajagopala Nagar,40.0
Rajaji Nagar,326.77981132075473
Rajankunte,235.0
Rajanna Layout,37.6
Rajapura,45.0
Rajarajesheari nagar,44.8
Rajarajeshwari Nagara,151.70666666666668
Rajarajeshwari nagar,151.70666666666668
Rajarajeshwarinagar,205.0
Rajasree Layout,80.0
Rajiv Gandhi Nagar,73.83333333333333
Rajiv Nagar,117.44769230769231
Ramagondanahalli,131.6758
Ramakrishnappa Layout,662.8571428571429
Ramamohanapuram,500.0
Ramamurthy Nagar,88.96319444444445
Ramamurthy Nagar Extension,49.565
Ramanagara Channapatna,75.0
Ramanashree Enclave,53.75
Ramanjaneyanagar,86.678
Ramaswamy Palya - Kammanahalli Main Road,210.0
Ramchandrapuram,55.0
Ramesh Nagar,136.66666666666666
Rammana Layout,100.0
Rayasandra,62.591818181818184
Reliaable Tranquil Layout,68.375
Reliable Woods Layout,58.0
Remco Bhel Layout,83.0
Rest House Road,690.0
Richards Town,211.42857142857142
Richmond Road,630.0
Richmond Town,279.55555555555554
Ring Road Nagarbhavi,235.0
Roopena Agrahara,62.613749999999996
Rukmaiah Layout,86.06
Rustam Bagh Layout,89.16666666666667
S R Layout,48.0
SARJAPUR BAGALUR ROAD,80.0
SBM Colony,377.5
SHANTHINAGAR,95.0
SK Garden,175.0
SMV layout,123.66666666666667
SRINIVASAPURA,56.589999999999996
Sabari Nagar,60.0
Sadahalli,130.0
Sadanand Nagar,350.0
Sadaramangala,52.49333333333333
Sadashiva Nagar,1011.1
Sadduguntepalya,75.0
Sadhguru Layout,55.0
Sahakara Nagar,104.36282051282052
Sahyadri Layout,180.0
Sai Gardens,58.25
Samethanahalli,48.833333333333336
Sampangi Rama Nagar,126.66666666666667
Sampangirama Nagar,140.0
Sampige Layout,90.0
Sampigehalli,68.0
Sanjay nagar,126.35999999999999
Sanjeevini Nagar,233.33333333333334
Sanne Amanikere,36.666666666666664
Saptagiri Layout,44.0
Sarakki Nagar,241.87357142857144
Sarjapur,94.57734567901235
Sarjapur  Road,118.74359693877551
"Sarjapur Road, ",133.5
Sarjapura - Attibele Road,78.74
Sarvabhouma Nagar,92.0
Sarvobhogam Nagar,140.0
Sathanur,110.0
Sathya Layout,84.33333333333333
Sathya Sai Layout,609.25
Satyasaibaba Layout,42.25
Sector 1 HSR Layout,288.22222222222223
Sector 2 HSR Layout,86.025625
Sector 3 HSR Layout,190.0
Sector 4 HSR Layout,700.0
Sector 6 HSR Layout,465.0
Sector 7 HSR Layout,167.57615384615386
Seegehalli,136.7416
Seethappa Layout,42.0
Seetharampalya,73.75
Seshadripuram,113.0
Shakthi Nagar,36.0
Shampura,72.92307692307692
Shankarapuram,165.0
Shanthala Nagar,754.0
Shanthi Layout,81.0
Shanthi Pura,32.0
Shanti Nagar,181.5
Shantiniketan Layout,116.33333333333333
Shauhardha Layout,20.0
Shettigere,59.0
Shettihalli,90.0
Shetty Halli,291.0
Shikaripalya,53.71125
Shingapura,52.5
Shirdi Sai Layout,78.815
Shirdi Sai Nagar,85.0
Shivaji Nagar,125.42307692307692
Shivanagar,160.0
Shree Ananth Nagar Layout,46.916666666666664
Siddapura,314.1666666666667
Sidedahalli,53.2875
Silk Board,53.970000000000006
Silver Springs Layout,68.0
Sindhi Colony,988.0
Singanayakanahalli,60.666666666666664
Singapura Village,58.42857142857143
Singasandra,71.5
Singena Agrahara,112.25
Sir M V Nagar,120.0
Sneha Colony,77.5
Somanna Garden,160.0
Somasundara Palya,75.25357142857142
Someshwara Layout,149.5
Sompura,46.583333333333336
Sonam Layout,50.0
Sonnenahalli,54.31340909090909
Soppahalli,25.0
Soundarya Layout,29.5
Sree Narayana Nagar,50.0
Sri Balaji Krupa Layout,188.33333333333334
Sri Kanteshwara Nagar,200.0
Sri Sai Layout,38.7
Sri Venkateshpura Layout,44.0
Srigandada Kaval,53.0
Srinagar,131.0
Srinivas Colony,922.0
Srinivasa Nagar,93.99000000000001
Srirampura,151.16666666666666
Srirampuram,182.2
St Thomas Town,62.0
St. John's Road,345.0
Stage-4 Bommanahalli,58.0
Subash Nagar,50.0
Subbannaiah Palya,85.0
Subhash Nagar,110.0
Subramanya Nagar,150.0
Subramanyanagar,200.0
Subramanyapura,65.96558139534883
Suddaguntepalya,50.0
Sugama Layout,36.0
Sultan Palaya,102.57142857142857
Sulthangunta,50.0
Sundar Ram Shetty Nagar,85.0
Sundara Nagar,110.0
Sunder Ram Shetty Nagar,94.5
Sunkadakatte,66.4
Sunkan palya,37.0
Surabhi Layout,110.0
Suragajakkanahalli,73.0
Suraksha Nagar,61.498333333333335
Suryanagar,45.0
Syndicate Bank Colony,153.0
T C Palya main Road,48.72
T Dasarahalli,105.0
T G extension,95.0
T K Reddy Layout,75.0
T R Mill Road,82.0
T c palya,85.0
T.C PALYA,73.0
T.C. Palya,60.0
TC Palaya,79.33266666666667
"TR Mill Road, Chamarajpet",79.0
Tala Cauvery Layout,91.0
Talaghattapura,106.19475
Tasker Town,73.66666666666667
Tata Nagar,70.5
Tavarekere,95.5
Teachers Colony,158.5
Tejaswini Nagar,62.142857142857146
Telecom Layout,57.666666666666664
Thanisandra,82.87401287553648
"Thanisandra Main Road, ",140.0
Thanisandra main road,483.0
Tharabanahalli,240.0
Thavarekere,108.0
Thigalarapalya,154.47629032258067
Thippasandra,86.66666666666667
Thirumalashettyhally,34.46
Thirumenahalli,74.52625
Thirupalya,65.0
Thomas Town,59.5
Thubarahalli,90.685
Thurahalli,108.33333333333333
Thyagaraja Nagar,123.925
Thyagraj Nagar,76.0
Tigalarpalya,88.5
Tilak Nagar,40.0
Tindlu,100.61818181818181
Tippenahalli,55.0
Tirumanahalli,50.4
Tumkur Road,75.01060606060605
Tunganagara,35.92333333333334
Uday Nagar,97.5
Udaya Nagar,90.5
Udayagiri,60.0
Udayapur Village,61.415
Ullal Road,185.0
Ullal Uppanagar,108.66666666666667
Ulsoor,237.23809523809524
Upadhyaya Layout,53.5
Upkar Layout,117.5125
Uttarahalli,61.25252688172043
Uvce Layout,100.0
V.V Puram,102.5
VGP Layout,63.6
VHBCS Layout,110.0
Vadarpalya,89.0
Vaderahalli,142.5
Vaishnavi Layout,412.5
Vajarahalli,79.875
Varanasi,78.41666666666667
Varsova Layout,238.375
Varthur,68.89442857142856
Varthur Road,54.38533333333333
"Varthur Road, ",70.0
Vasantapura main road,36.28
Vasanth nagar,641.125
Vasantha Vallabha Nagar,74.0
Vasanthapura,41.92916666666667
Vasanthpura,49.91
Vasatha Vallbha Nagar,37.8
Vayunandana Layout,120.0
Veer Sandra,168.0
Veerabhadra Nagar,100.0
Veerannapalya,67.33333333333333
Veersandra,52.5
Venkatadri Layout,42.333333333333336
Venkatapura,183.25
Venkateshpuram,24.0
Venkateswara Nagar,20.0
Venugopal Reddy Layout,68.66666666666667
Versova Layout,335.0
Vibhutipura Extension,73.5
Vibuthipura,102.5
Victoria Layout,268.14285714285717
Vidhyanagar Cross,32.0
Vidya Nagar,280.0
Vidyapeeta,98.0
Vidyaranyapura,93.62209302325581
Vignana Nagar,71.61111111111111
Vijay Nagar,160.0
Vijaya Bank Colony,62.0
Vijaya Bank Layout,185.92857142857142
Vijayabank bank layout,48.0
Vijayanagar,119.15547619047618
Vijaypura,150.0
Vijinapura,81.905
Vikram Nagar,38.0
Vimanapura,62.0
Vinayak Nagar,54.833333333333336
Vinayaka Layout,170.0
Vinayaka Nagar,65.75
Virat Nagar,70.148
Virgonagar,42.2
Virudhu Nagar,68.0
Virupakshapura,57.666666666666664
Vishveshwarya Layout,128.15384615384616
Vishwanatha Nagenahalli,102.11111111111111
Vishwapriya Layout,66.66666666666667
Vishwapriya Nagar,90.8
Viswajit Layout,61.0
Viswapriyanagar.begur Road.bommanahalli.,85.0
Vittal Mallya Road,300.0
Vittal Nagar,48.0
Vittasandra,71.02093023255814
Vivek Nagar,145.0
Viviani Road,350.0
Volagerekallahalli,39.50666666666667
Vyalikaval,117.5
Wajid layout thanisandra,100.0
Weavers Colony,27.333333333333332
West of Chord Road,160.0
Wheelers Road,68.0
"Whietfield, ",98.0
Whitefield,128.33767790262175
Whitefield ECC Road,71.05
"Whitefield, ",67.5
Williams Town,98.0
Wilson Garden,245.71428571428572
Xavier Layout,400.0
Yarandahalli,44.05
Yediyur,225.0
Yelachenahalli,89.825
Yelahanka,86.12040476190477
Yelahanka New Town,83.86585365853658
"Yelahanka,MVIT college",150.0
Yelenahalli,50.79923076923077
Yemlur,1093.388888888889
"Yemlur, Old Airport Road, ",115.0
Yeshwanthpur,98.68641176470588
Yeshwanthpur Industrial Suburb,250.0
Zuzuvadi,75.0
adigondanhalli,42.0
akshaya nagar t c palya,120.0
anjananager magdi road,165.0
"asha township, off hennur road",285.0
banashankari stage iii sa,91.72
basaveshwarnagar,70.0
"beml layout, basaveshwara nagar",360.0
bsk 6th stage 2ad block near sri conversation hall,87.0
cooketown,191.0
elachenahalli,58.0
frazertown,267.5
kadubisnahalli,57.0
kamanahalli main road,95.0
kanakapura main road,36.44
kanakapura road,48.06
kg halli jalhalli west,80.0
manyata,50.11
manyata park,73.41
manyata tech park,56.0
mvj engineering college,56.53
near Ramanashree California resort,160.0
pavitra paradise,190.0
poornaprajna layout,128.0
"ravindra nagar, T.dasarahalli peenya",74.0
rr nagar,60.0
sankeswari,31.7
sapthagiri Layout,115.0
sarjapura main road,250.0
singapura paradise,140.0
t.c palya,160.0
tc.palya,60.75
vinayakanagar,200.0
"white field,kadugodi",275.0
whitefiled,32.73
